comment_id,author,text,published_at,likes,is_reply
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUNGypPzxP-,@maruenlopez7242,"​ @DavidUribeLaverde ahora te llamas jaime ? Severa loca deje quieto a los muertos en paz 

Que al final lo que se es un mejor pais !!!",hace 6 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU8d9F5fJto,@leonardosalamanca7563,"CULO A LO BIEN 1 MILLON DE VOTOS DE ESE MAN SON POR ESTE CAPITULO! A LO REAL, A LL QUE MARCA SIN PALABRAS",hace 11 días,17,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU8fdKGPBDY,@dersadorada,​ @leonardosalamanca7563 DISQUE DIOS LO BENDIGA A LA LOCA QUE VA EMBALADA A JODER EL PUEBLO Y AL PLAN PROGRESISTA!!! 🤔,hace 11 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU9L4QSyTQn,@M.R.M-BC,"​ @leonardosalamanca7563 si, severas lámparas vendidas, re faltones...",hace 11 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1hWeI6_Bp,@CG-hg1vi,"Todo, TODO es político. El humor lo es más!",hace 2 semanas,16,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUElPrkBq-p,@Jampi-lt46,Le ayudaron a lavar la cara a ese payaso títere de Uribe es es mala mala esa los ví mal hay 🫵😕,hace 9 días,14,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU8GqfL4Sps,@dersadorada,VENDIDOS DEJARON A UN URIBISTA RECOGER VOTOS DE PETROSKI,hace 11 días,13,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU5NG3mFOqb,@reflexiondeamor7861,"Tienen huevo, haciéndole campaña al infiltrado de Uribe",hace 13 días,58,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAURVgVa3mAX,@castav5340, @reflexiondeamor7861  llorelo petroMIERDA,hace 4 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUK-w6-lxZd,@andresortiz9989,​ @reflexiondeamor7861 TOTAL!!!,hace 7 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGeJr_Rk6W,@cristiancaicedo8805,"Parce deberian borrar este capitulo, las elecciones en colombia son algo muy delicado y ustedes cometieron el mayor error, demostrar que hasta gente con buenos pensamientos y buenos proyectos como ustedes pueden caer en manos de unos fachos de ultra derecha y utilizarlos. No se metan con la política si no saben realmente de que trata la política, no queremos mas falsos positivos en este país ni mas pobreza, y menso usar la imagen de jaime garzon en un video de un man de ultra derecha, lo que hicieron fue una estupidez.",hace 8 días,12,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUNl-MY_DZT,@RAMLUCIA07OlgaRamirez,"​ @cristiancaicedo8805 QUE LO BORREN NO. NO, QUE HAGAN ACLARACION Y SE DISCULPEN POR GENERAR CONTENIDO ENGAÑOSO.",hace 5 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUHaydMLiI_,@JHONARCO-p1w,"​ @cristiancaicedo8805  se creen Jaime garzón las bobas está culo es un ignorante que se cree actor y ellos juran ser comerciantes solo por qué no saben hacer nada más sin esto serían que? Hora si entiendo ya que les gusta lavar caritas ahora entiendo a cabal cuando dijo estudien vagos 
Se creen garzón y el no se creía comediante el lo era pero lo que el si creía era en el conocimiento, UDs son lo contrario unos ignorantes payaso no comediantes.",hace 8 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUHu07CN7YP,@alde7ch970,"​ @cristiancaicedo8805  no creó que lo borren ya que sumaron a sus bolsillos $$$$ buenos empresarios ya se creen de la elite, de los de arriba, sin saber que siguen siendo sirvientes al poder corruptos.",hace 8 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU9IC_nCCLY,@vanemora802,"Lo que hace dudar es Sánchez, apoyando a un man que tira pa la derecha…  severo charlar así pero pues… dudoso. Ahí si chaooooooo.",hace 11 días,11,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAURVzOkCTfi,@castav5340, @vanemora802  chao y no vuelva mongólica,hace 4 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGDso-AAE_,@elpobreindignado,Por la vendida podcast 0:03,hace 8 días,11,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAURW0-o0kpM,@castav5340, @elpobreindignado  sin llorar petrongólico,hace 4 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUB6sUjnkVv,@sadomaniac1,siento una desilusión tremenda  de ustedes con este capitulo no la sigan cagando asi por favor :(,hace 10 días,10,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1LdUQr4V2,@Harv_ey86,"A mí me encanta que sean políticos, o si no quien nos va a defender? Los delfines?",hace 2 semanas,47,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUFj_p_nKuD,@juansebastianbocanegra4701,Haciendole campaña a el tapado de Uribe !  Para cuánto la entrevista con Petro o con cepeda ?,hace 9 días,9,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUFlb18ogBX,@alexanderarevalo8785,"​ @juansebastianbocanegra4701 me gusto la parte cuando dicen ""definitivamente nos quedamos con Cepeda""",hace 9 días,1,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUFlNCRWBNV,@david042675,​ @juansebastianbocanegra4701 jajajajajaja maldito 4n1mal petrista,hace 9 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAULDE3FyRxr,@jhoanrivera7168, @juansebastianbocanegra4701 cepeda no va ni a debates como va a ir a un programa como éste? No se aguanta que lo moleste emir y lo manda a matar 😂,hace 6 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU6wPi2-NOf,@berigdondarrioninquisidor3009,Ummm ahí se vendieron...,hace 12 días,8,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU74bIxENUd,@jeysonmoreno9772,Mal que fuera unos días antes de la consulta,hace 12 días,8,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUA9oaAu3_W,@onlineeljose5615,"@sancochotrifasico
Ese Mk votó por Uribe sus dos presidencias, luego por Santos y creo que trabajo en ese gobierno, obviamente por Duque!
Si tiene dudas verifique las redes de Daniel Coronel
No hay que comer entero y por que habla lindo entonces es El Salvador",hace 11 días,8,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU6iYt2cHLg,@MarEstef,“Los chistes no tienen partido político”. La cagaste. Para Jaime Garzón el humor sí tenía responsabilidad política. En vísperas de elecciones todo acto público tiene un efecto político. Dejen la irresponsabilidad.,hace 12 días,39,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAULxf8bBMJk,@digarop, @MarEstef  Para mí que desde la campaña de Oviedo engrasaron al Sánchez e hizo el lobby con Culotauro que es todo cabeza de maceta,hace 6 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU5rqytmzI_,@TheFirulao,Solo vine a ver comentarios como la gente se tira mierd*,hace 12 días,6,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUDVPp_U52n,@juansebastianbocanegra4701,El tapado de la extrema derecha! Ahí se alió con paloma ! Para cuándo la entrevista a Iván cepeda?,hace 9 días,6,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUKx-zbxL6A,@mariapaulanizo4016,"UTILIZANDO INTRO DE JAIME GARZON Y HACIENDO LE CAMPAÑA AL MATARIFE, EXCELENTE.  .",hace 7 días,6,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUNl9nSFVoD,@RAMLUCIA07OlgaRamirez,​ @mariapaulanizo4016 lo que es no saber que ese paraco pago para matarlo.,hace 5 días,0,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUGKQdzcUXz,@sergioandres1224,Nos damos cuenta que los chistes no tienen partido político y al parecer su cerebro hueco tampoco,hace 8 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUIjsx9ylSu,@andressanchez4707,¿Para qué ponen a Jaime Garzón? No sean petardos.,hace 7 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAUJ5LC7OaDh,@EduardoEscobar-p3o,La cagaron metiendole política a eso!!!!,hace 7 días,4,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU1uoLn9zeu,@luisenriquerodriguez60,Cómo siempre el emir rompiéndola,hace 2 semanas,3,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU3gYenhYyG,@estebancabezas,"Publireportaje, no jodás! 🫠",hace 13 días,3,False
UgyFfYrJHHwlHK8r8-N4AaABAg.AU1LQk3uJ7gAU8Y-csct3s,@dersadorada,GRACIAS A DIOS CEPEDA NO SE PRESTA PARA ESAS PAYASADAS.,hace 11 días,3,False
